rt,response,subj_idx,attention,coherency,prioritization,stimulus,run,_response,id,cpp_peak,cpp_slope,cpp_amplitude,index
0.41964145781094,1.0,005,double,high,no,face,2,0.0,3,5.633746841444232e-06,2.7968662720822373e-05,4.593863410274011e-06,147.0
0.278340207865767,1.0,001,right,low,yes,car,2,1.0,3,5.008156075176573e-06,1.0796753718582553e-05,2.3803997102389147e-06,147.0
0.516039812151575,1.0,017,double,low,no,car,2,1.0,4,1.2688710597021731e-06,-2.0637723662790098e-05,1.201306474049886e-06,148.0
0.486272475198348,1.0,016,double,low,no,face,2,0.0,4,3.8541777507713584e-06,-4.780678856856739e-05,6.272551624952295e-06,148.0
0.340524181170622,1.0,015,double,low,no,car,2,1.0,4,5.278461504026587e-06,7.924668546489669e-06,3.94534038062105e-06,148.0
0.543918862033934,1.0,014,double,high,no,face,2,0.0,4,5.678745746844206e-06,-5.537046547067935e-05,-1.055182759469396e-06,148.0
0.296145765084475,1.0,013,right,low,yes,face,2,0.0,4,6.1214249067918605e-06,3.737087338052321e-05,4.065477241547734e-06,148.0
0.347943870255222,1.0,012,left,low,yes,car,2,1.0,4,8.31153875399223e-06,8.954000029560683e-06,7.1147105239651e-06,148.0
0.325372063355644,1.0,009,left,high,yes,face,2,0.0,4,3.7779683402328794e-06,3.952758657146542e-05,1.4599557528356037e-06,148.0
0.353919345679969,1.0,008,right,low,yes,car,2,1.0,4,1.0291982095728308e-05,-8.519034408608935e-06,3.8324672272125205e-06,148.0
0.310897329505679,1.0,005,double,high,no,car,2,1.0,4,8.104150286073725e-06,-2.882500924726834e-05,8.932910669833845e-07,148.0
0.271472180773799,1.0,003,right,low,yes,car,2,1.0,4,4.415341813707114e-06,-3.634739878153789e-05,-6.537571834397949e-07,148.0
0.320365962792494,1.0,001,left,high,yes,car,2,1.0,4,4.2625976927379946e-06,4.06067687345021e-05,3.009265292204511e-06,148.0
0.377974667702802,1.0,017,left,low,yes,car,2,1.0,5,6.032851003665882e-06,4.849542303435689e-05,4.07167775281396e-06,149.0
0.526179420930021,1.0,016,right,low,yes,face,2,0.0,5,6.4430390155559625e-06,2.9167618723360456e-05,3.7480684142428153e-06,149.0
0.311565622163471,1.0,015,right,high,yes,car,2,1.0,5,4.566318173379273e-06,-1.64999144617214e-05,1.8357787859933747e-06,149.0
0.452233131398316,1.0,014,double,high,no,car,2,1.0,5,3.892983710726937e-06,3.0616876006034164e-05,6.398476339995439e-06,149.0
0.397012680336047,1.0,013,right,high,yes,car,2,1.0,5,2.861908249596559e-06,2.427768875149039e-05,3.307736821173153e-06,149.0
0.252391410490418,1.0,012,left,high,yes,car,2,1.0,5,6.71524839332804e-06,4.951076633602323e-05,4.8524051676181334e-06,149.0
0.446555181325493,1.0,009,left,low,yes,car,2,1.0,5,7.212997377933099e-06,6.0699434844681045e-05,2.8822029074355945e-06,149.0
0.463913793908432,1.0,007,left,low,yes,car,2,1.0,5,9.329226796025783e-06,-2.382062412809194e-05,2.065347064547716e-06,149.0
0.427184666816174,1.0,005,left,low,yes,face,2,0.0,5,4.564014392700504e-06,-1.0882601099655399e-05,3.761347478959239e-06,149.0
0.482766667806573,1.0,003,double,low,no,face,2,0.0,5,3.5863474068480783e-06,-1.4475169629021658e-05,-8.128799624280996e-07,149.0
0.253626697847722,1.0,001,right,low,yes,face,2,0.0,5,2.1151271378662097e-06,4.2722066208234826e-05,2.2470498487915098e-06,149.0
0.222923770486887,1.0,016,double,high,no,face,2,0.0,6,4.417851785464433e-06,7.939525252427993e-06,3.1819560172067893e-06,150.0
0.401158972003032,1.0,015,double,high,no,face,2,0.0,6,7.484927693445613e-06,1.466885237051597e-05,2.6394786056866147e-06,150.0
0.161675986229056,1.0,013,right,high,yes,car,2,1.0,6,9.369314861442587e-07,3.434052427940897e-05,1.069969755256466e-06,150.0
0.266185942684388,1.0,012,double,low,no,car,2,1.0,6,8.952683673393827e-06,3.095396918932239e-05,1.6516385775250142e-06,150.0
0.429255854107396,1.0,011,right,high,yes,car,2,1.0,6,7.869446864453698e-06,3.2754557738824416e-05,2.4176830690253683e-06,150.0
0.341156155983299,1.0,009,left,high,yes,face,2,0.0,6,5.811973553265614e-06,1.938380245069344e-05,1.216738344099082e-06,150.0
