response_time,response_corr,subject,attention,coherency,prioritization,category,cpp_peak,cpp_slope,cpp_amplitude
0.233677278185496,1,sub-017,double,high,no,face,7.245831425103278e-06,1.4117869399222706e-06,5.9272349480280655e-06
0.355712960343226,1,sub-017,double,high,no,face,6.110324659337141e-06,2.3198813948604752e-05,4.081370438969523e-06
0.416564304148778,1,sub-017,double,low,no,face,1.0555049844567976e-06,-5.899173496655198e-05,-2.7869314561496145e-06
0.3565062826965,1,sub-017,double,high,no,car,6.689153170531458e-06,6.15768842589268e-07,6.204108264908376e-06
0.490680468981736,1,sub-017,right,low,yes,car,2.4176994973275997e-06,-4.6281029236258284e-05,7.05262052388907e-07
0.398354774049949,0,sub-017,double,high,no,car,4.199225617431551e-06,5.154328024347387e-05,3.823037968004077e-06
0.379597290622769,1,sub-017,double,high,no,car,4.081263052717888e-06,-2.2086248004932056e-05,-1.080036357990117e-06
0.385123254236532,1,sub-017,double,high,no,car,9.002283422067875e-06,3.618670096850367e-05,4.34936553422902e-06
0.451098063756945,1,sub-017,left,high,yes,car,6.354675199795098e-06,3.705719114239531e-05,6.598872803858957e-06
0.414734738616971,1,sub-017,left,high,yes,car,5.310502668362693e-06,5.4164795030679506e-05,3.447617537020143e-06
0.447399284719722,1,sub-017,left,low,yes,face,-1.9038070233266473e-06,-2.9608300459696787e-05,-2.200738952042039e-06
0.288599424049607,1,sub-017,right,low,yes,face,100.0,-8.403848910131352e-06,1.7339048352176467e-06
0.320229943710729,1,sub-017,right,high,yes,face,5.638296679394887e-06,2.6316009822372045e-05,4.663562831639077e-06
0.419476319089881,1,sub-017,right,low,yes,face,7.606349419730608e-06,1.6642780827599976e-05,4.787380385747081e-06
0.693018678284716,1,sub-017,right,low,yes,car,2.2151229237821574e-06,3.0548979177849154e-05,5.705293475191399e-07
0.301755250504357,1,sub-017,double,high,no,car,100.0,2.572420320624859e-05,1.974238402655428e-06
0.818619626181317,0,sub-017,left,low,yes,car,8.530787615409569e-05,-3.418232831742133e-05,1.813591180537593e-05
0.524682489194674,1,sub-017,double,low,no,car,-9.947561022400755e-06,5.3446694044594944e-05,-1.3785595561841596e-05
0.31759807432536,1,sub-017,right,high,yes,car,8.650881431602926e-06,3.8797155794644094e-05,6.023179183192638e-06
0.391071012287284,1,sub-017,double,low,no,car,100.0,1.4933688328787808e-05,-1.2695525388087029e-06
0.417195352507406,1,sub-017,double,high,no,car,1.0244258310370081e-05,8.528361244189158e-05,3.706935619265146e-06
0.340704868285684,1,sub-017,double,low,no,car,4.731389332854848e-06,2.985261365594082e-05,1.8217029737863034e-06
0.365852074013674,1,sub-017,double,high,no,face,-2.028374176361805e-05,0.00013564637731578081,-1.7326145127043046e-05
0.811630902811885,0,sub-017,double,low,no,face,1.2630469661279744e-05,6.851898203347522e-05,5.650776771454261e-06
0.305769250204321,1,sub-017,right,high,yes,car,1.1354261730676708e-05,5.980876004251383e-05,7.242201947443727e-06
0.633124047890306,0,sub-017,double,low,no,face,9.072838541731007e-06,2.6257102470381792e-05,4.4910914517787635e-06
0.593898583741975,1,sub-017,double,low,no,car,-5.064922094317259e-07,4.598860565617373e-05,-1.0890686570583921e-06
0.347502534597879,1,sub-017,double,high,no,face,100.0,4.380038156316644e-05,4.1491300355467396e-07
0.418574091745541,1,sub-017,right,high,yes,car,2.9137170154908515e-06,4.0020211581022084e-05,9.272365658677398e-06
0.329119236208498,1,sub-017,double,high,no,face,100.0,6.029821803106915e-06,1.317732593190696e-06
0.521931927229161,1,sub-017,right,low,yes,car,3.532430651562743e-06,-1.299844381826652e-05,3.3046150796159643e-06
0.642366972475429,1,sub-017,left,low,yes,car,9.89624831391375e-06,2.6113831546216273e-05,1.188022183291103e-05
0.274010961904423,1,sub-017,right,high,yes,face,3.2007115110830814e-05,0.0001100512980189039,3.334226976215718e-05
0.3898523402313,1,sub-017,double,high,no,car,1.2749296776313144e-05,-2.7587354911125762e-05,7.936784852486589e-06
0.335221490910044,1,sub-017,right,high,yes,car,100.0,3.745122149659639e-06,1.3420747609115576e-07
0.389256070906413,1,sub-017,left,low,yes,car,4.257341588151884e-06,6.499905810203041e-05,2.1861363322281557e-06
0.292738674543216,1,sub-017,right,high,yes,face,1.3550457814570512e-05,-1.739320260294093e-05,6.616611217988503e-06
0.351100785570452,1,sub-017,left,high,yes,face,8.066732415860805e-06,1.863092909369032e-05,2.5029309507857442e-06
0.393479585763998,1,sub-017,double,low,no,car,1.011969204188226e-05,5.846578824119299e-06,-8.41645235873082e-07
